date,type,registration,operator,fat.,location,url,phase,aircraft_damage,classification,narrative,nature,inv_agency,year
14-JAN-2011,Beech B200 Super King Air,PR-ART,CMN Construtora Meio Norte,6,near Senador Cane...,https://aviation-safety.net/database/record.php?id=20110114-0,Approach (APR),Destroyed,Controlled Flight Into Terrain (CFIT) - Mountain,"A Beechcraft 200 Super King Air, PR-ART, was destroyed when it impacted a hillside near Senador Canedo City, GO, Brazil, while approaching Goiânia-Santa Genoveva Airport, GO (GYN). The pilot and five passengers were fatally injured. The flight originated at Brasília-Presidente Juscelino Kubitschek International Airport, DF (BSB).During a VOR approach to runway 32 in heavy rain, the airplane impacted Santo Antônio Hill, 11 km short of the runway.Contributing Factors (translated from Portuguese)- Obesity - undeterminedFactors such as obesity and sedentary lifestyle, associated with the high workload in the moments before the collision with the hill, may have contributed to the fact that the task requirement in the final approach exceeded safety margins, leading to a wrong decision of the pilot.- Attitude - unspecifiedIn facing adverse weather conditions and knowing that previous landing aircraft had better visibility at altitude below 3,500 feet in the final approach of the VOR procedure, the pilot may have raised the level of confidence in the situation to the point of continuing descent without considering the risk involved.- Emotional state - undeterminedThe conditions that were present in the final phase of the flight may have raised the level of tension in the cabin to the point of compromising the management of the situation by the pilot, who left the task of communicating to the passenger.- Decision-making processWhen considering that the pilot decided to descend from the minimum altitude to achieve visual conditions, it can be assumed that his decision, probably influenced by the experiences of previous aircraft, was made without adequately assessing the risks involved and without considering the option of flying IFR, taking in view of local weather.In addition, the pilot's decision-making process may have been compromised by the lack of information about the Morro de Santo Antônio in the approach letter - publication of aid for the pilot in flight.- Adverse weather conditions - contributedThe images provided by the primary radar of the Anápolis Control (APP-AN) indicated the existence of strong cloudiness associated with heavy formations in the final approach of the VOR procedure. These conditions influenced the occurrence, causing the collision of the aircraft against the Morro de Santo Antônio, independently of the hypotheses raised in the investigation.- Navigation deviation - contributedThe final approach on course 320 ° (instead of the expected 325 °) led the aircraft to line up with the hill where the collision occurred.- ATS Publication - undefinedMorro de Santo Antônio, an obstacle to control the final approach in which the aircraft collision occurred, was not identified in the VOR approach letter for lane 32, as anticipated by CIRTRAF 100-30, a fact that may have contributed to a possible reduction of situational awareness.",Executive,CENIPA ,2011
17-JAN-2011,DHC-3T Vazar Turbine Otter,C-GNNP,Liard Air,0,Muncho Lake/...,https://aviation-safety.net/database/record.php?id=20110117-0,Standing (STD),Damaged beyond repair,Hangar / ground fire Damaged on the ground,"Three aircraft were destroyed in a hangar fire at Muncho Lake/Mile 462 Seaplane Base, Canada. A generator in the hangar caught fire. Without power the operator was not able to open the hangar door. Aircraft destroyed were C-GUGE Cessna A185F, C-GUDK DHC-2 Beaver Mk 1, C-GNNP DHC-3T Otter.",-,,2011
17-JAN-2011,Convair CV-340-71,N8277Q,Tiger Contract Cargo,0,Saint Thomas...,https://aviation-safety.net/database/record.php?id=20110117-1,Initial climb (ICL),Substantial,Engine fire Forced landing on runway,"A Convair 340-71 cargo plane, N8277Q, experienced an in-flight fire aft of the left engine shortly after takeoff from Cyril E. King Airport (STT), Saint Thomas, U.S. Virgin Islands.The flight was cleared for takeoff from runway 28 at Saint Thomas Airport at 0747 hours local time.At 074844, the local controller advised the flightcrew, ""Convair seven seven quebec observe a lot of smoke coming from your left engine are you in need of any assistance sir"", to which the captain (pilot not flying) stated, ""ah no we are fine..."" The captain attributed the smoke trailing from the left engine to the age of the airplane. The crew then switched frequencies to San Juan Combined En Route Approach Control (San Juan CERAP). Upon receiving a message from the local controller at Saint Thomas, CERAP reported to the flight crew that flames were now observed on the left hand engine.After being notified of the fire, the co-pilot reported they checked the engine instruments and did not have any indication of a fire. About that time the owner of the company who was airborne in another airplane told them they needed to return. The captain ordered the co-pilot to go into the cabin to visually look at the left engine and after returning to the cockpit informed the captain there was a fire. The captain advised that he executed the procedures for fire checklist and secured the left engine but the fire continued. The flight returned for landing at Saint Thomas, and at 075050, the pilot of a company airplane reported, ""...you definitely have a fire going.""The flight continued towards Saint Thomas and ATC communications were transferred to STT ATCT. At 075321, the flight was cleared to land. The captain later reported that while returning to Saint Thomas, he noticed an issue with the left aileron which the co-pilot assisted with. The airplane was landed on runway centerline at 90 knots, but the flightcrew were unable to stop the airplane. The captain also reported that there was no steering, the brakes were not working properly. During the landing roll the airport fire rescue vehicles followed the airplane while attempting to extinguish the fire and avoiding debris that was separating from the airplane. The airplane departed the right side of the runway, crossed a taxiway and a perimeter road, then went through the airport perimeter fence and came to rest upright with the nose section over a public road outside of the airport property.After the airplane came to rest, the flightcrew exited the airplane from the overwing exits, and the fire rescue vehicles converged on the airplane and extinguished the fire.PROBABLE CAUSE ""The captains decision to continue the flight with the left engine backfiring, resulting in an engine fire shortly after takeoff. Contributing to the accident were the captains decision to continue the flight following a report of black smoke trailing the airplane and in-flight fire damage to the left wheel brake system, resulting in a loss of directional control during an emergency landing.""",Ferry/positioning,NTSB ,2011
19-JAN-2011,Cessna 208B Grand Caravan,5Y-OER,Airworks,0,Tharjath Air...,https://aviation-safety.net/database/record.php?id=20110119-0,Takeoff (TOF),Substantial,,Reportedly damaged in a hard landing following engine failure on takeoff about January 19.,Unknown,,2011
20-JAN-2011,DHC-6 Twin Otter 300,FAE449,Ecuador Air Force,6,El Capricho ...,https://aviation-safety.net/database/record.php?id=20110120-0,En route (ENR),Substantial,,"A de Havilland Canada DHC-6 Twin Otter 300 plane, serial FAE449, was damaged beyond repair in an accident at El Capricho area, Ecuador.The airplane was serving isolated communities of the Amazon, as part of a special economic air program of the ECORAE - Instituto para el Ecodesarrollo Regional Amazónico.20-01-2011",Military,,2011
27-JAN-2011,Fokker F-27 Friendship 500CRF,5X-FFD,Fly540,0,Nairobi-Wils...,https://aviation-safety.net/database/record.php?id=20110127-0,Takeoff (TOF),Substantial,Rejected takeoff Runway excursion,"A Fokker F-27 cargo plane sustained substantial damage in a runway excursion accident at Nairobi-Wilson Airport (WIL), Kenya. All four crew members sustained minor injuries.The aircraft was conducting a post-maintenance test flight when the crew aborted the takeoff from runway 07. The aircraft overran the runway, went through the perimeter fence, collapsed the nose wheel, and ended up in a maize field.The accident occurred during the second takeoff attempt after the first attempt was aborted.",Test,,2011
30-JAN-2011,Gulfstream G-IV,N127DK,Prime Aviation,0,Papeete-Faaa...,https://aviation-safety.net/database/record.php?id=20110130-0,Taxi (TXI),Substantial,Collision with airport equipment Damaged on the ground,"The Gulfstream G-IV, N127DK, sustained substantial damage when the aircraft collided with ground handling equipment at Papeete-Faaa Airport, Tahiti.The aircraft ran over a belt loader and impacted an air stairs vehicle with the left hand wing. The right hand wing impacted a cargo truck and the nose of the aircraft came in contact with a cargo container.",Executive,,2011
04-FEB-2011,Raytheon Hawker 850XP,OD-SKY,Sky Lounge Services,7,Sulaymaniyah...,https://aviation-safety.net/database/record.php?id=20110204-0,Initial climb (ICL),Destroyed,Icing Loss of control,"A Hawker 850XP corporate jet was destroyed in an accident at Sulaymaniyah, Iraq. All seven on board were killed. Among the passengers were technicians and shareholders with Iraqi mobile phone company Asiacell.An investigation showed that the airplane stalled before reaching sufficient speed, and descended, striking the ground almost 6900 feet from the runway 31 threshold, and 130 feet from the right-hand edge.Prior to departure the crew did not remove accumulated snow on the upper surface of the wing.Probable Cause1- The flight crews failure to de-ice the aircraft prior to take-off resulted in the aircraft wings top surface, especially the right wing, being contaminated with ice and snow, leading the right wing to stall at a speed significantly below the clean wing stall speed.a. There was a contaminated ice and snow on the wings, elevator and horizontal stabilizer top surface.b. The pilot was in a hurry and didnt remove these contaminations.Contributing Factors1- The hurry up syndrome led the captain to disregard de-icing the aircraft, despite the physical evidence and confirmation of ice contamination by the F/O, as he was focusing his attention on the deteriorating visibility.2- The F/O lack of assertiveness in insisting on de-icing the aircraft prior to take-off did not help the captain review his decision. 3- The Contamination of snow and ice on top of the wing, fuselage and tail will compromise the normal takeoff characteristics.4- The stall warning did not activate as the wing stalling speed and AOA was well below the clean wing stalling speed.ASN editorial noteThe Iraqi CAA final report writes that the speed ""was well below the clean wing stalling speed."" Given the context, the speed was likely *above* the clean wing stalling speed.04-02-2011",Executive,CAA Iraq ,2011
09-FEB-2011,Beech 1900D,C-FWAX,Wasaya Airways,0,Kasabonika A...,https://aviation-safety.net/database/record.php?id=20110209-0,Landing (LDG),Substantial,,"Wasaya Airways flight WSG937, a Beech 1900D aircraft (C-FWAX) was landing on runway 03 at the Kasabonika, Ontario airport with 13 passengers and two crew onboard. Shortly after touchdown, the aircraft began to weathercock and then veer to the left. The flight crew applied right wheel braking and increased right engine beta input. The aircraft continued to the left and then full reverse thrust was applied. Both engines were then shut down and the aircraft struck a snow bank and came to rest in deep snow, approximately 10 feet past the runway lights. All occupants immediately evacuated the aircraft. Two passengers received minor injuries and the aircraft was substantially damaged. The weather at the time was clear and cold and wind from 300° at 10 gusting to 18 knots. Runway conditions were hard packed snow with ice patches. There are no facilities available at Kasabonika to measure the runway friction index or radio facilities to report it to pilots.",Domestic Scheduled Passenger,TSB Canada ,2011
10-FEB-2011,Swearingen SA227-BC Metro III,EC-ITP,"Flightline, op.for Manx2",6,Cork Airport...,https://aviation-safety.net/database/record.php?id=20110210-0,Landing (LDG),Destroyed,Loss of control,"A Swearingen SA-227BC Metro III passenger plane, registered EC-ITP, was damaged beyond repair in a landing accident at Cork Airport (ORK), Ireland. There were 10 passengers and two crew members on board. Both crew members and four passengers were killed. The airplane operated on Manx2 flight NM7100 from Belfast City Airport (BHD) to Cork Airport (ORK). Following a fuel uplift a total fuel quantity of 3000 lb (1360 kg) was recorded, which was sufficient for the planned round trip to Cork and back to Belfast. The flight plan specified Waterford Airport (EIWF) as the alternate for the sector to Cork.The accident flight took off from Belfast at 0810 hrs, and climbed to Flight Level (FL) 120. The co-pilot was Pilot Flying (PF) with the commander acting as Pilot Non Flying (PNF). At 0848 the flight contacted Cork Approach Control. The Cork ATIS information stated that runway 35 was the active runway with Low Visibility Procedures (LVP) in operation. Cork Approach also informed the flight crew that runway 35 was the active runway with CAT II available for runway 17. The RVRs on runway 17 were passed by Cork Approach as 300 m (touchdown), 350 m (midpoint) and 550 m (stop-end) (300/350/550). Flight 7100 was given the choice of runways, and while runway 35 was initially considered by the flight crew, a decision was made to opt for an approach to runway 17. This was acknowledged by Cork Approach who stated ""...thats copied, just check IRVRs Runway 17 for CAT II, currently at 350, 350, and 450."" The aircraft first established on the ILS approach to runway 17 at 0858 and was handed over to Cork Tower. The RVRs passed by Cork Tower at 0900 hrs were 300/400/375. The approach was continued beyond the 3.5 nautical miles (nm) DME point (outer marker equivalent). A missed approach was carried out at 0903 hrs, the lowest height recorded on this approach was 101 ft radio altitude.A second ILS approach was then flown, to the reciprocal direction runway 35, with the aircraft being handed over to Cork Tower at 09.10 at 8 nm from touchdown. At 091056 the flight crew reported established on the ILS runway 35. The RVRs passed by the Tower at this time were 350/350/350. Descent was continued beyond the 4.9 nm DME point (outer marker equivalent). A missed approach was carried out at 0914, the lowest height recorded on this approach was 91 ft radio altitude.At 0915 hrs the flight crew requested to enter a holding pattern for 15 to 20 minutes to see if the weather would improve. The flight took up the holding pattern at point ROVAL maintaining an altitude of 3,000 ft. The flight crew requested the weather for Waterford. This weather, which was below minima, was provided by Cork Approach. The flight crew nominated Shannon Airport as their second alternate and requested weather information. Shannon weather was passed by Cork Approach, it was below minima. Weather for Dublin Airport was then sought by the flight crew. This was acknowledged by Cork Approach who offered to provide the weather for Kerry Airport also. The weather at Kerry was passed with the visibility being reported as greater than 10 kilometres. Weather conditions at Dublin, which were marginal, were obtained and passed to the flight crew at 0935 hrs.At approximately 0932 hrs, with EC-ITP still in the ROVAL hold, the RVR values on runway 17 at Cork began to improve. Following a further improvement to 500/450/400 at 0939 hrs, the flight crew elected to attempt another approach to runway 17. At 0945 the aircraft reported established on the ILS, and was configured with landing gear down and 1/2 flaps selected. At 094526, when EC-ITP was at 11 nm DME on the ILS, the RVR (touchdown) improved to 550 m, which was passed to the flight crew by Cork Approach.At 094538, the flight was handed over to the Cork Tower and the flight crew reported to the Tower at 094600 passing 9 nm DME. The final RVRs passed to EC-ITP at 09.4615 were 500/400/400 when the aircraft was 9.6 nm from the threshold of runway 17. At approximately 400 ft radio altitude, recorded data shows the aircraft deviated to the right of the runway centreline, paralleling the centreline track.The descent was continued below Decision Height (DH). Power was reduced momentarily before being re-applied. Just below 100 ft radio altitude, a go-around was called by the PNF and was acknowledged by the PF. Recorded data shows that the aircraft rolled significantly to the left as the aircraft tracked towards the runway centreline. This was immediately followed by a rapid roll to the right which brought the right wingtip into contact with the runway surface. Runway surface contact was made with a roll angle of 97 degrees to the right. The initial impact mark was located 86 m from the runway threshold, and 2 m left of the centreline. The aircraft continued to roll rapidly to the right and struck the runway in the fully inverted position 25 m beyond the initial impact point. The inverted aircraft departed the runway surface on a heading of approximately 195° M and came to a rest 189 m from the initial impact point. The propeller blades on both engines were severely damaged; three of the four propeller blades on the right-hand engine detached during the inverted impact. Fire occurred in both engines post impact. The AOC of the operator contained approval for the aircraft to operate CAT I approaches only. In this case a decision height of 200 feet at an RVR (touchdown) minimum of 550 m for runway 17 and 750 m for runway 35.The Investigation determined that the probable cause was Loss of control during an attempted go-around initiated below Decision Height (200 feet) in Instrument Meteorological Conditions.The Investigation identified the following factors as being significant- The approach was continued in conditions of poor visibility below those required.- The descent was continued below the Decision Height without adequate visual reference being acquired.- Uncoordinated operation of the flight and engine controls when go-around was attempted- The engine power-levers were retarded below the normal in-flight operational range, an action prohibited in flight.- A power difference between the engines became significant when the engine power levers were retarded below the normal in-flight range.- Tiredness and fatigue on the part of the Flight Crew members.- Inadequate command training and checking.- Inappropriate pairing of Flight Crew members, and- Inadequate oversight of the remote Operation by the Operator and the State of the Operator.10-02-201110-02-201110-02-201110-02-2011OCT 1991N3003TFairchild AircraftSEP 1992XA-SESAéromexicoSEP 1992XA-SESAerolitoralSEP 2003ZS-PDWNorse Air Charter22 JAN 2004EC-ITPTop Fly21 MAY 2004EC-ITPTop FlyMAY 2008EC-ITPLíneas Aéreas de Andalucía (op. by Euro Continental Air)MAY 2008EC-ITPManx2NOV 2009EC-ITP Ibertour Servicios Aéreos2011EC-ITPManx2",International Scheduled Passenger,AAIU ,2011
12-FEB-2011,CASA/Nurtanio NC-212 Aviocar,PK-ZAI,Sabang Merauke Raya Air Charter,5,near Tanjung Pina...,https://aviation-safety.net/database/record.php?id=20110212-0,En route (ENR),Damaged beyond repair,Loss of control,"A CASA/Nurtanio NC-212-A4 Aviocar 100 plane, registered PK-ZAI, was damaged beyond repair in an accident at Bintan Island, Indonesia. All five on board were killed. The airplane departed from Batam-Hang Nadim Airport (BTH) at 1318 for a test flight following an engine replacement to the engine number one. The test flight was conducted over Bintan (Tanjung Pinang) Island area. There were five persons on board consisted of two pilots, and three company engineers.The flight climbed to the en route cruising altitude of 4000 feet, heading for Tanjung Pinang-Kidjang Airport (TNJ). The airplane crashed nose down in the jungle at the 010 radial of the TPG VOR at a distance of about 15 NM from the VOR.Factors contributed to the accident are as follows- The flight test was not properly well prepared; there was no flight test plan.- The current and applicable CMM is dissimilar the According to the CASA 212-100 and Garrett TPE331-5 Maintenance Manuals related to flight test requirement after the change of only one engine.- The left engine was shut down using normal/ ground shut down procedure. It used the fuel shut off switches off followed by pulling the Power Lever rearward to reverse, as indicated by the propeller pitch.- The right engine most likely shut down by wind milling prior the impact, it was indicated the propellers piston distance position to the cylinder was about normal flight range position and no indication of rotating impact on the blades.- The Casa Service Bulletin No. 212-76-07 Revision 1 issued dated 23 December 1991 (Anti Reverse) that applicable for Casa 212 -100/200, was not incorporated to this aircraft.- The PIC with pareses or paralysis vestibular organ or system could not response normally to the three dimensional motion or movement. This condition may the subject more sensitive to suffer Spatial Disorientation (SDO). The SDO is the pilot could not perceived rightly his position motion and attitude to the earth horizontal or to his aircraft or other aircraft and could as the dangerous precondition for unsafe action.- The Director (DGCA) decree No 30/II/2009 issued on 20 February 2009 stated that for issuing medical certificate for pilot after 60th birthday require several additional medical examination items. Point 1.b of this decree states the Video Nystagmography examination.(differed the ICAO Doc 8984)12-02-201112-02-2011",Test,,2011
